"Please Cite as: Women’s Philanthropy Institute, Indiana University Lilly Family School of Philanthropy & DataLake, LLC. (2023). Women & Girls Index [Data file]. http://www.philanthropy.iupui.edu/wgi",
541726932,KARAMAH A MUSLIM WOMEN LAWYERS COMMITTEE FOR HUMAN RIGHTS INC
541727251,UNITED DAUGHTERS OF THE CONFEDERACY 2197 PRESIDENT DAVIS
541733912,UNITED DAUGHTERS OF THE CONFEDERACY 1654 LUNENBURG
541734403,UNITED DAUGHTERS OF THE CONFEDERACY 1406 LANCASTER COUNTY
541734414,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION OVERWHARTON PARISH DAR
541737858,STAUNTON AUGUSTA JUNIOR WOMANS CLUB
541741394,CENTER FOR WOMEN INC
541742166,UNITED DAUGHTERS OF THE CONFEDERACY 2296 CENTENNIAL MAURY
541743932,LOWER LOUDOUN GIRLS SOFTBALL LEAGUE INC
541745508,VILLAGE SCHOOL
541747114,UNITED DAUGHTERS OF THE CONFEDERACY 164 ANNE ELIZA JOHNS CHAPTER
541750501,BETHLEHEM GIRLS SOFTBALL ASSOCIATION
541754436,UNITED DAUGHTERS OF THE CONFEDERACY 2473 CAROLINE GRAYS
541756450,INTERNATIONAL COUNCIL INFERTILITY INFORMATION DISSEMINATION INC
541756584,UNITED DAUGHTERS OF THE CONFEDERACY 2477 JEFFERSON DAVIS
541759866,MARTHA E FORRESTER COUNCIL OF WOMEN
541761136,UNITED DAUGHTERS OF THE CONFEDERACY 20 STONEWALL JACKSON CHAPTER
541766519,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 47 939 000 90000837 POTOMAC
541769161,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FOUR FLAGS DAR
541771691,UNITED DAUGHTERS OF THE CONFEDERACY 2195 GEN STUART
541772720,YORK AMATEUR SOFTBALL ASSOCIATION
541773412,VIRGINIA PRESS WOMEN FOUNDATION
541773421,UNITED DAUGHTERS OF THE CONFEDERACY 2535 NORFOLK CTY GRAYS NIEMEYER SHW
541773898,VIRGINIA CLASS ACTION SOFTBALL CLUB
541774908,JAMES HOUSE INTERVENTION PREVENTION SERVICES INC
541777211,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 11 ASHBURN ASSEMBLY
541780756,CHESTERFIELD COLONIAL HEIGHTS CHRISTMAS MOTHER INC
541780889,PREGNANCY CENTER INC ACCOMACK NORTHAMPTON
541785678,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 5 SMITHFIELD ASSEMBLY
541789897,GRANDMA RITAS CHILDREN INC
541791993,BATH COUNTY CHRISTMAS MOTHER INC
541792211,NAGINA WOMENS INSTITUTE OF HEALTH AND EDUCATION U S A INC
541793115,GFWC ROANOKE JUNIOR WOMENS CLUB INC
541794740,SCHOLARSHIP ENDOWMENT FUND OF THE TUCKAHOE WOMANS CLUB TUCKAHOE WOMENS CLUB
541796266,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC FAIRFAX CO MOM
541799100,WINCHESTER WOMENS NETWORK SCHOLARSHIP FOUNDATION
541799795,LAUREL SHELTER INC
541801426,NATIONAL WOMENS HISTORY MUSEUM
541803035,PILOT CLUB OF ALEXNADRIA FOUNDATION
541804342,PERSEPHONE PRODUCTIONS INC
541819290,DAUGHTERS OF SONG
541820735,HANOVER HEAT GIRLS FASTPITCH SOFTBALL
541826208,WOMEN IN THE GIVING SPIRIT
541826258,BIRTHMOTHER MINISTRIES INC
541826719,SUNRISE COMMUNITY DEVELOPMENT CENTER INC PRAYING WOMEN OUTREACH MINISTRY
541831815,PATRICK HENRY WOMENS CLUB INC
541832408,WOMENS SAILING FOUNDATION INC SUSAN SCOTT ROBINSON
541840843,CONTINENTAL SOCIETY DAUGHTERS OF INDIAN WARS INC DISTRICT OF COLUMBIA DAUGHTERS OF
541841347,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC RICHMOND AREA MOMS
541846404,SUBMARINE OFFICERS WIVES CLUB CHARITABLE ASSOCIATION
541858176,TAHIRIH JUSTICE CENTER
541860191,NIGERIAN WOMEN ASSOCIATION OF HAMPTON ROADS
541861191,UNITED DAUGHTERS OF THE CONFEDERACY 173 SUFFOLK CHAPTER
541863645,VIRGINIA BAPTIST WOMEN IN MINISTRY INC
541863738,RAPPHANNOCK AREA BREASTFEEDING TASK FORCE
541864019,HORIZONS UNLIMITED YOUTH AND FAMILY DEVELOPMENT INC
541866612,BUFF FOUNDATION
541870368,NATIONAL ASSOCIATION OF UNIVERSITY WOMEN HAMPTON
541871583,WHF FOUNDATION
541874420,HAMPTON ROADS VIPERS FASTPITCH SOFTBALL CLUB INC
541885231,NATIONAL ASSOCIATION OF NERGO BUSINESS AND PROF WOMENS CLUBS INC NORTHERN NECK MIDDLE PENINSULA CLUB
541886278,DAUGHTERS OF ZELOPHEHAD CORPORATION
541888246,BREAST HEALTH COALITION OF THE VALLEY
541888977,ARROW FOUNDATION OF THE NORTHERN VIRGINIA ALUMNAE CLUB OF PI BETA P
541890991,CENTRAL VIRGINIA GIRLS SOCCER LEAGUE
541893016,HOPE HOUSE OF SCOTT COUNTY
541897205,FREDERICKSBURG AREA MOMC
541897244,NATIONAL ASSOCIATION OF NEGRO BUSINESS WOMENS CLUB INC WILLIAMSBURG AND VICINITY CLUB
541897381,NATIONAL ASSOCIATION OF BUSINESS PROFESSIONAL NEGRO WOMEN CLUB INC WEST POINT AND VICINITY CLUB
541901882,MSI US
541902004,WOMEN IN NEED INC
541902937,ORCHARD HOUSE INC ORCHARD HOUSE SCHOOL
541902943,JACKSON FEILD HOMES FOUNDATION
541907435,UNITED DAUGHTERS OF THE CONFEDERACY FL DIV GREAT GREAT GRANDDAUGHTERS C
541907723,KNOCK OUT ABUSE
541909037,NEW VISIONS NEW VENTURES INC
541909878,STRATEGIC ADVOCACY VENTURES AND GRASSROOTS ENGAGEMENT INC
541910702,LA LECHE LEAGUE INTERNATIONAL INC LLL RICHMOND PM ID 1563
541912289,BLUE RIDGE PREGNANCY CENTER
541912420,UNITED DAUGHTERS OF THE CONFEDERACY 1877 ELLIOTT GRAYS
541912824,MENCHVILLE HOUSE MINISTRIES BARBARA BIEVY
541912964,NEW BIRTH FELLOWSHIP MINISTRIES
541915450,CATHOLIC DAUGHTERS OF THE AMERICAS 2456 OF REDEEMERS ANGELES
541918201,HANOVER CHRISTMAS MOTHER INC
541918686,REACH INC READING ENRICHES ALL CHILDREN
541919560,LOUDOUN STORM GIRLS SOFTBALL INC
541920837,SOUTHSIDE CENTER FOR VIOLENCE PREVENTION INC
541923308,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 6 QUANTICO ASSEMBLY
541925276,ALLIANCE FOR NATIONAL DEFENSE
541926801,WOMENS HEALTH VIRGINIA INC
541934355,CENTER FOR SEXUAL ASSAULT SURVIVORS
541935378,NATIONAL ASSISTANCE LEAGUE ASSISTANCE LEAGUE OF NORTHERN VIRGI
541937386,CHESAPEAKE WOMENS ICE HOCKEY CLUB
541939348,NEW BIRTH MINISTRIES INC
541943145,NUEVA VIDA INC
541944683,MIDDLESEX COUNTY WOMANS CLUB INC
541946814,SEXUAL ASSAULT VICTIMS VOLUNTEER INITATIVE
541950038,SAFE HARBOR CATHY EASTER
541953187,EDEN GARDEN ORPHANAGE
541954395,ROYCE D SMITH AND LILLIE B FRANCOIS BREAST CANCER FOUNDATION
541957347,RICHMOND MIDWIFERY SERVICES INC
541960945,BLUE RIDGE MONTESSORI INC
541962913,BREAST CANCER CARE FOUNDATION
541963614,NATIONAL COUNC OF NEGRO WOMEN INC VA012 VIRGINIA BEACH SECTION
541964259,HAVEN SHELTER AND SERVICES INC
541988830,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812 JAMES MONROE CHAPTER
541991094,FRANKLIN COUNTY PERINATAL EDUCATION CENTER AMY PENDLETON
541992618,FRIENDS OF THE ALEXANDRIA COMMISSION FOR WOMEN
541994518,EASTERN WOMENS BASEBALL CONFERENCE
541995917,HOUSING FAMILIES FIRST
541996004,YOUNG WOMENS CHRISTIAN LEAGUE
541997121,INTERNATIONAL PREMATURE OVARIAN FAILURE SUPPORT GROUP INC
542001889,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LEVISA RIVER DAR
542002388,HEART TO HEART FAMILY LIFE AND EDUCATIONAL CENTER INC
542003025,CHOOSE LIFE NOW INC
542003804,ST CHARLES LWANGA HOUSE LITTLE SISTERS OF ST FRANCIS INC
542004729,OVARIAN AND GYNECOLOGIC CANCER COALITION RHONDAS CLUB
542006243,VIRGINIA GIRLS BASKETBALL ASSOCIATION INC
542007185,DUCKS UNLIMITED INC 1ST LADIES OF VA DU
542008806,YOUNG WOMENS ENPOWERMENT NETWORK INC
542008840,FRIENDS OF HUNGRY MOTHER STATE PARK INC
542009509,CHESTERFIELD COUNTY DOMESTIC VIOLENCE TASK FORCE
542009536,UNITED DAUGHTERS OF THE CONFEDERACY 2626 CAPT SALLY TOMPKINS
542010740,WOMANS CLUB OF SMITHFIELD INC
542013002,LA LECHE LEAGUE INTERNATIONAL INC LLL JEFFERSON COUNTY WV
542020144,757 LADIES PACKING HEAT CLUB 757 LADIES PACKING HEAT CLUB
542022673,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PRINCE WILLIAM RESOLVES DAR
542024252,SOUTHSIDE STING GIRLS FASTPITCH SOFTBALL ASSOCIATION INC
542024343,WAKEUP
542026885,GIRLS ON THE RUN OF NOVA
542033897,CAMFED U S A FOUNDATION
542034024,RICHMOND NAWBO FOUNDATION
542034042,VALLEY WOMENS SCHOLARSHIP FOUNDATION
542037341,WESTERN BRANCH BRUINS GIRLS SOCCER CLUB INC
542045089,BREAST FOR LIFE FOUNDATION
542045904,GFWC FRANKLIN WOMANS CLUB INC
542052245,SECOND CHANCE EMPLOYMENT SERVICES INC
542055764,GLOBAL ORGANIZATION OF FEMINISTS WITH DISABILITIES INC
542056913,NEW BIRTH DELIVERANCE AND RESTORATION MINISTRIES
542057848,ELITE YOUTH WORLDWIDE
542058917,BENT MOUNTAIN WOMAN S CLUB INC
542059197,WOMAN S ALLIANCE
542059890,LA LECHE LEAGUE INTERNATIONAL INC LLL LYNCHBURG ID 1608
542062298,NORTHERN VIRGINIA GIRLS SOFTBALL ASSOCIATION CHARITABLE TR
542063955,WOMEN IN UNITY
542064043,WOMEN OF WISDOM MINISTRIES INTL
542064687,BETTY J BORRY BREAST CANCER ADVENTURE WEEKEND INC
542065357,GRANDMA S LUV N CARE INC
542067236,THE OAKS WOMENS CLUB INC
542067262,WOMEN OF HOPE PROJECT INC
542070226,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 90000908 HASASSAH SOUTHERN
542072917,OUR MOTHERS DAUGHTERS LIFE SKILLS CENTER FOR WOMEN INC
542073525,MAGGIE AND ERMAS HOUSE INC
542073930,GIRLS INC OF THE PACIFIC NORTHWEST
542081988,LA LECHE LEAGUE INTERNATIONAL INC LLL DEDHAM
542082224,BARRIER FREE LIVING HOLDING INC FREEDOM HOUSE HOUSING DVLPMNT FUND
542082237,BARRIER FREE LIVING HOLDING INC FREEDOM HOUSE FOR PEOPLE W DISABILI
542086410,CHOOSE LIFE OF MARYLAND INC
542089944,BLACK WOMENS ASSOCIATION NORTHWEST SURBURBAN CHAPTER
542094998,UNITED DAUGHTERS OF THE CONFEDERACY 218 E JEFFERSON ST
542095144,ROBERT FORD HAITIAN ORPHANAGE AND SCHOOL FOUNDATION
542097511,RHODE ISLAND RAINBOW GIRLS FOUNDATION INC DEBORAH L THERRIEN MBR
542098108,GOWNS TO GIRLS INC
542100082,UPPER ARLINGTON WOMENS CLUB
542101215,WOMENS RESOURCE CENTER OF CENTRAL OREGON
542105153,AURORA GIRLS SOFTBALL ASSOCIATION
542105425,WOMENS AUDIO MISSION
542109480,COASTAL WOMENS POWER GATHERING
542110207,THE ROY WILLIAMS SAFETY NET FOUNDATION
542110560,WE LEARN WOMEN EXPANDING LITERACY EDU ACTION RESOURCES NETW
542115054,GIRLS WRITE NOW INC
542118360,GFWC BERKS COUNTY FEDERATION OF WOMENS CLUBS SPRING TOWNSHIP
542118918,VIDOR GIRLS SOFTBALL ASSOCIATION INC
542120251,YWCA OF TAMPA BAY FOUNDATION INC
542120710,REACH OF CLAY COUNTY INC
542121007,WOMEN IN AVIATION INTERNATIONAL SPACE CITY CHAPTER
542121958,MHANA MINISTRY MUJERES HISPANAS ALCANZANDO NUEVAS ALTURAS INC
542124188,UNITED FAMILY AND FRIENDS OF ELISCIA
542124269,MERCY CENTER FOUNDATION USA INC
542126704,DAUGHTERS OF UNION VETERANS OF THE CIVIL WAR 1861 1865 AMANDA STOKES TENT 87
542127458,LA LECHE LEAGUE INTERNATIONAL INC LLL ELGIN
542128744,ALUMNAE ASSOCIATION OF BARNARD COLLEGE BARNARD CLUB OF NORTH CENTRAL ARIZO
542133004,PREGNANT TEEN OUTREACH
542134395,WOMEN IN CONVERSATION INC
542136457,LA LECHE LEAGUE OF THE UNITED STATES OF AMERICA LLL ARLINGTON PM
542137595,WINGS WORLD QUEST INC
542138153,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC LYONS PRIDE
542138553,MOTHER OF OUR REDEEMER SCHOOL
542143068,LA LECHE LEAGUE INTERNATIONAL INC LLL SILVER LAKE ID 14151
542143732,LA LECHE LEAGUE INTERNATIONAL INC LLL FREDERICKSBURG THURS ID 1583
542143915,COLUMBUS COALITION AGAINST FAMILY VIOLENCE
542147752,ST MARYS ACADEMY ALUMNAE ASSOCIATION
542148834,PORTERVILLE UNIVERSITY WOMEN SCHOLARSHIP FUND INC
542150382,CATHOLIC DAUGHTES OF THE AMERICAS 2534 ST MARY MOTHER OF GOD
542151559,REGINAS HOUSE FOR WOMEN INC
542152826,CHOOSE 2 LEAD WOMENS FOUNDATION
542152921,NORTH SHORE BLACK WOMENS ASSOCIATION INC
542155420,HAWAII FAMILY LAW CLINIC
542158741,METRO NY PRESBYTERY WIC
542159187,HISPANICS AVANZANDO HISPANICS
542160630,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SEQUOYAH DAR
542162447,WE HELP GRANDMA AND GRANDPA SREVICES
542164948,LA BECA WOMENS SCHOLARSHIP FOUNDATION
542166967,WOMEN EMPOWERMENT TRAINING INSTITUTE
542167049,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 17 484 000 90002112 NORTH PARK ROAD
542170279,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2005 CLASS
542170454,UZIMA INTERNATIONAL INC
542173949,JOAN ROBERTS FOUNDATION FOR OVARIAN CANCER
542174226,AMERICAN TURKISH ASSOCIATION OF SOUTHERN CALIFORNIA TURKISH AMERICAN LADIES LEAGUE
542176651,LA LECHE LEAGUE INTERNATIONAL INC LLL WILMINGTON NORTH
542177109,MOTHERS PRAYERS MINISTRY
542177390,TURNING POINT FOR WOMEN AND FAMILIES
542177877,NATIONAL WILD TURKEY FEDERATION INC WS KING DAUGHTERS AND SONS BREAM
542179745,NATIONAL CHARITY LEAGUE OREGON ROSE CHAPTER
542182548,UNITED DAUGHTERS OF THE CONFEDERACY 2650 DIXIE DAUGHTERS
542182705,UNITED DAUGHTERS OF THE CONFEDERACY 26 MARY WEST CHAPTER
542183180,LADIES OF THE LAKES
542185946,ACTION FOR HOPE USA
542187323,SOUTHWEST WOMENS FIBER ARTS COLLECTIVE
542190181,ASOCIACION LATINA DE SERVICIOS DEL CSRA INC
542190311,NEW BIRTH BAPTIST CHURCH
542191601,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION DESERT WELLS DAR
542192527,GIRLS INCORPORATED OF THE NORTHERN SACRAMENTO VALLEY
542195587,VILLA PARK HIGH SCHOOL LADY SPARTAN GIRLS BASKETBALL BOOSTERS
546036896,ST CATHERINES SCHOOL FOUNDATION
546039189,HEBREW LADIES CHARITY SOCIETY
546039598,VIRGINIA GIRLS STATE AUXILIARY
546039725,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION HAMPTON DAR
546040031,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COMMONWEALTH DAR
546040306,UNITED DAUGHTERS OF THE CONFEDERACY VIRGINIA DIVISION
546040446,ALUMNAE ASSOCIATION STUART CIRCLE HOSPITAL SCHOOL OF NURSING
546041082,HOLLINS COLLEGE ALUMNAE ASSOCIATION INC
546043013,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103002 ALEXANDRIA VA
546043501,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JOHN ALEXANDER DAR
546043863,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BERMUDA HUNDRED DAR
546044966,JUNIOR LEAGUE OF NORFOLK VIRGINIA BEACH INCORPORATED
546045059,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103061 WILLIAMSBURG VA
546046234,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION VIRGINIA DAUGHTERS OF THE AMERICAN
546046378,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NANCY CHRISTIAN FLEMING DAR
546046627,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103021 FAIRFAX COUNTY VA
546047049,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NATHANIEL BACON DAR
546047070,RICHMOND CHRISTMAS MOTHER COMMITTEE CHRISTMAS MOTHER
546047199,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COLONEL WILLIAM PRESTON DAR
546049033,JUNIOR LEAGUE OF LYNCHBURG VA
546049459,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION HENRICOPOLIS DAR
546049862,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION STUART DAR
546051087,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COUNT PULASKI DAR
546052261,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BOROUGH OF NORFOLK DAR
546052275,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION POINT OF FORK DAR
546052276,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION EASTERN SHORE OF VIRGINIA
546052278,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION GENERAL WILLIAM CAMPBELL DAR
546052279,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CONSTANTIA DAR
546052280,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CRICKET HILL DAR
546052283,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BLACKS FORT DAR
546052284,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION APPALACHIAN TRAIL DAR
546052285,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FLOYD COURT HOUSE DAR
546052287,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LOUISA COURT HOUSE DAR
546052289,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JUDITH RANDOLPH LONGWOOD DAR
546052291,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FORT MAIDEN SPRING DAR
546052292,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION KATE WALLER BARRETT DAR
546052293,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COBBS HALL DAR
546052294,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARY DESHA DAR
546052295,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LOVELADY DAR
546052296,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COLONEL WILLIAM ALLEN DAR
546052454,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ALBEMARLE DAR
546052456,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COL JOHN BANISTER DAR
546052457,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FRANCES BLAND RANDOLPH DAR
546052459,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CHANCELLOR WYTHE DAR
546052460,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COMTE DE GRASSE DAR
546052462,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SARAH CONSTANT DAR
546052463,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION DR ELISHA DICK DAR
546052464,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FALLS CHURCH DAR
546052465,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FORT NELSON DAR
546052467,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FREEDOM HILL DAR
546052468,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BERRYMAN GREEN DAR
546052469,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JAMES RIVER CHAPTER
546052470,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COL THOMAS HUGHART DAR
546052471,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARGARET LYNN LEWIS DAR
546052473,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NATURAL BRIDGE DAR
546052474,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION HENRY CLAY DAR
546052475,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COL ABRAM PENN DAR
546052476,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ROANOKE VALLEY DAR
546052477,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SHADWELL DAR
546052521,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FORT LOUDOUN DAR
546052523,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NEWPORT NEWS WARWICK DAR
546052657,NAVY WIVES CLUB OF AMERICA 143 PRINCESS ANNE
546052664,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NORTHAMPTON COUNTY DAR
546052812,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MASSANUTTON DAR
546052871,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BOONE TRAIL DAR
546052872,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WILLIAM BYRD DAR
546052873,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WASHINGTON LEWIS DAR
546052874,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION THOMAS CARTER DAR
546052875,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION DOROTHEA HENRY DAR
546052876,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION HICKSFORD DAR
546052877,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JACK JOUETT DAR
546052878,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LEEDSTOWN RESOLUTIONS DAR
546052879,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MONTICELLO DAR
546052880,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MOUNT VERNON DAR
546052881,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION OLD DOMINION DAR
546052883,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PRESTWOULD DAR
546052884,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JOHN RHODES DAR
546052888,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION VIRGINIA FRONTIER DAR
546053062,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PEAKS OF OTTER DAR
546053063,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PATRICK HENRY DAR
546053064,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION KETOCTIN DAR
546053258,GENERAL FEDERATION OF WOMENS CLUBS WOMANS CLUB OF FAIRFAX
546053280,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WILDERNESS ROAD DAR
546053433,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FORT CHISWELL DAR
546053434,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION POPLAR FOREST DAR
546053435,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ELIZABETH MC INTOSH HAMMILL DAR
546053436,NATIONAL SOCIETY DAUGHTERS OF COLONIAL WARS INC ALICE ELLINGSBERG
546053462,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION GREAT BRIDGE DAR
546053463,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WILLIAM TAYLOR DAR
546053510,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BLUE RIDGE DAR
546054033,NATIONAL COUNCIL OF JEWISH WOMEN HAMPTON ROADS SECTION INC
546054042,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NELLY CUSTIS DAR
546054148,FELICIAN SISTERS OF VIRGINIA
546054190,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION AUGUSTINE WARNER DAR
546054257,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MAJOR GEORGE GIBSON DAR
546054262,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION
546054291,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103036 MANASSAS VA
546054787,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FORT LEWIS DAR
546054794,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION THOMAS NELSON DAR
546054797,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PROVIDENCE DAR
546054802,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION GENERAL JOSEPH MARTIN DAR
546054804,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION GEORGE PEARIS DAR
546054808,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION AMHERST DAR
546054809,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ALLEGHANY DAR
546057962,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ARLINGTON HOUSE DAR
