,organizationName,id,name,description,address,categories,revenue,EIN,totcntrbgfts,totcntrbs,Name,boston_region
354,International Order of the Rainbow Girls 57 Needham Assembly,473932,International Order of the Rainbow Girls 57 Needham Assembly,,51 GILBERT RD,GIRL,0,237133168,,,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 57 NEEDHAM ASSEMBLY,No
355,International Order of the Rainbow Girls 13 Taunton Assembly,473989,International Order of the Rainbow Girls 13 Taunton Assembly,,5 Locust St,GIRL,0,237133650,,,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 13 TAUNTON ASSEMBLY,No
356,International Order of the Rainbow Girls 58 Middleboro Assy,474152,International Order of the Rainbow Girls 58 Middleboro Assy,,23 Hidden Valley Dr,GIRL,0,237134394,,,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 58 MIDDLEBORO ASSY,No
357,International Order of the Rainbow Girls 98 Georgetown Assembly,475374,International Order of the Rainbow Girls 98 Georgetown Assembly,,116 S Pleasant St,GIRL,0,237140179,,,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 98 GEORGETOWN ASSEMBLY,No
358,Wellesley College Alumnae Assoc Atlanta Wellesley Club,478416,Wellesley College Alumnae Assoc Atlanta Wellesley Club,,106 Central Street,WEDUC,0,237156518,,,WELLESLEY COLLEGE ALUMNAE ASSOC ATLANTA WELLESLEY CLUB,No
359,Wellesley College Alumnae Assoc Fairfield Villages Wellesley Club,479224,Wellesley College Alumnae Assoc Fairfield Villages Wellesley Club,,106 Central Street,WEDUC,0,237161278,,,WELLESLEY COLLEGE ALUMNAE ASSOC FAIRFIELD VILLAGES WELLESLEY CLUB,No
360,Wellesley College Alumnae Assoc Wellesley Club of Colorado,480230,Wellesley College Alumnae Assoc Wellesley Club of Colorado,,106 Central Street,WEDUC,0,237167383,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF COLORADO,No
361,Wellesley College Alumnae Assoc North Shore Wellesley Club,480413,Wellesley College Alumnae Assoc North Shore Wellesley Club,,106 Central Street,WEDUC,0,237168323,,,WELLESLEY COLLEGE ALUMNAE ASSOC NORTH SHORE WELLESLEY CLUB,No
362,Wellesley College Alumnae Assoc Wellesley Club of Sarasota,480431,Wellesley College Alumnae Assoc Wellesley Club of Sarasota,,106 Central Street,WEDUC,0,237168457,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF SARASOTA,No
363,Wellesley College Alumnae Assoc Wellesley College Club Los Angeles,480681,Wellesley College Alumnae Assoc Wellesley College Club Los Angeles,,106 Central Street,WEDUC,0,237169871,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY COLLEGE CLUB LOS ANGELES,No
364,Wellesley College Alumnae Assoc Wellesley College Club of Dallas,480858,Wellesley College Alumnae Assoc Wellesley College Club of Dallas,,106 Central Street,WEDUC,0,237170576,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY COLLEGE CLUB OF DALLAS,No
365,Catholic Daughters of the Americas 488 Brookline,480969,Catholic Daughters of the Americas 488 Brookline,,39 Prince St,GEN,0,237171139,,,CATHOLIC DAUGHTERS OF THE AMERICAS 488 BROOKLINE,No
366,Catholic Daughters of the Americas 1065 CT Corpus Christi,480970,Catholic Daughters of the Americas 1065 CT Corpus Christi,,937 Sea St,GEN,0,237171140,,,CATHOLIC DAUGHTERS OF THE AMERICAS 1065 CT CORPUS CHRISTI,No
367,Catholic Daughters of the Americas 1543 CT Our Lady of Presentation,481085,Catholic Daughters of the Americas 1543 CT Our Lady of Presentation,,27 Sparhawk St,GEN,0,237171844,,,CATHOLIC DAUGHTERS OF THE AMERICAS 1543 CT OUR LADY OF PRESENTATION,No
368,Catholic Daughters of the Americas 1475 CT St Joseph,481087,Catholic Daughters of the Americas 1475 CT St Joseph,,6 Mann St,GEN,0,237171847,,,CATHOLIC DAUGHTERS OF THE AMERICAS 1475 CT ST JOSEPH,No
369,Wellesley College Alumnae Assoc Wellesley in New Haven,481532,Wellesley College Alumnae Assoc Wellesley in New Haven,,106 Central Street,WEDUC,0,237174059,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY IN NEW HAVEN,No
370,Catholic Daughters of the Americas Massachusetts State Court,481822,Catholic Daughters of the Americas Massachusetts State Court,,3 Winthrop St,GEN,0,237175560,,,CATHOLIC DAUGHTERS OF THE AMERICAS MASSACHUSETTS STATE COURT,No
371,Wellesley College Alumnae Assoc Rochester Wellesley Club,482017,Wellesley College Alumnae Assoc Rochester Wellesley Club,,106 Central Street,WEDUC,0,237176994,,,WELLESLEY COLLEGE ALUMNAE ASSOC ROCHESTER WELLESLEY CLUB,No
372,Catholic Daughters of the Americas 434 CT Salem,482068,Catholic Daughters of the Americas 434 CT Salem,,50 Devens Rd,GEN,0,237177269,,,CATHOLIC DAUGHTERS OF THE AMERICAS 434 CT SALEM,No
373,Catholic Daughters of the Americas 584 CT Henry A Sullivan,482073,Catholic Daughters of the Americas 584 CT Henry A Sullivan,,93a Collins St,GEN,0,237177279,,,CATHOLIC DAUGHTERS OF THE AMERICAS 584 CT HENRY A SULLIVAN,No
374,Wellesley College Alumnae Assoc Southern Connecticut Wellesley Club,482178,Wellesley College Alumnae Assoc Southern Connecticut Wellesley Club,,106 Central Street,WEDUC,0,237178052,,,WELLESLEY COLLEGE ALUMNAE ASSOC SOUTHERN CONNECTICUT WELLESLEY CLUB,No
375,Wellesley College Alumnae Assoc 1964 Class,482333,Wellesley College Alumnae Assoc 1964 Class,,106 Central Street,WEDUC,0,237178922,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1964 CLASS,No
376,Wellesley College Alumnae Assoc 1963 Class,482358,Wellesley College Alumnae Assoc 1963 Class,,106 Central Street,WEDUC,0,237179138,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1963 CLASS,No
377,Wellesley College Alumnae Assoc 1960 Class,482359,Wellesley College Alumnae Assoc 1960 Class,,106 Central Street,WEDUC,0,237179154,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1960 CLASS,No
378,Wellesley College Alumnae Assoc Class of 1967,482482,Wellesley College Alumnae Assoc Class of 1967,,106 Central Street,WEDUC,0,237180155,,,WELLESLEY COLLEGE ALUMNAE ASSOC CLASS OF 1967,No
379,Wellesley College Alumnae Assoc 1957 Class,482542,Wellesley College Alumnae Assoc 1957 Class,,106 Central Street,WEDUC,0,237180656,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1957 CLASS,No
380,Wellesley College Alumnae Assoc 1966 Class,483160,Wellesley College Alumnae Assoc 1966 Class,,106 Central Street,WEDUC,0,237185247,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1966 CLASS,No
381,Wellesley College Alumnae Assoc 1961 Class,483315,Wellesley College Alumnae Assoc 1961 Class,,106 Central Street,WEDUC,0,237186938,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1961 CLASS,No
382,Wellesley College Alumnae Assoc Wellesley in Phoenix,483420,Wellesley College Alumnae Assoc Wellesley in Phoenix,,106 Central Street,WEDUC,0,237188238,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY IN PHOENIX,No
383,Wellesley College Alumnae Assoc 1971 Class,483808,Wellesley College Alumnae Assoc 1971 Class,,106 Central Street,WEDUC,0,237191996,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1971 CLASS,No
384,Wellesley College Alumnae Assoc Wellesley Club Northern California,484109,Wellesley College Alumnae Assoc Wellesley Club Northern California,,106 Central Street,WEDUC,0,237195714,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB NORTHERN CALIFORNIA,No
385,Wellesley College Alumnae Assoc Englewood Wellesley Club,484762,Wellesley College Alumnae Assoc Englewood Wellesley Club,,106 central street,WEDUC,0,237204744,,,WELLESLEY COLLEGE ALUMNAE ASSOC ENGLEWOOD WELLESLEY CLUB,No
386,Wellesley College Alumnae Assoc Winchester Wellesley Club,485635,Wellesley College Alumnae Assoc Winchester Wellesley Club,,106 Central Street,WEDUC,0,237211790,,,WELLESLEY COLLEGE ALUMNAE ASSOC WINCHESTER WELLESLEY CLUB,No
387,Wellesley College Alumnae Assoc Wellesley Club of Houston,485636,Wellesley College Alumnae Assoc Wellesley Club of Houston,,106 Central Street,WEDUC,0,237211799,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF HOUSTON,No
388,Wellesley College Alumnae Assoc Wellesley Club of San Antonio,485637,Wellesley College Alumnae Assoc Wellesley Club of San Antonio,,106 Central Street,WEDUC,0,237211800,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF SAN ANTONIO,No
389,Wellesley College Alumnae Assoc Pittsburgh Wellesley Club,485638,Wellesley College Alumnae Assoc Pittsburgh Wellesley Club,,106 Central Street,WEDUC,0,237211802,,,WELLESLEY COLLEGE ALUMNAE ASSOC PITTSBURGH WELLESLEY CLUB,No
390,Wellesley College Alumnae Assoc Minnesota Wellesley Club,485639,Wellesley College Alumnae Assoc Minnesota Wellesley Club,,106 Central Street,WEDUC,0,237211804,,,WELLESLEY COLLEGE ALUMNAE ASSOC MINNESOTA WELLESLEY CLUB,No
391,Wellesley College Alumnae Assoc Wellesley Club of Pasadena,485640,Wellesley College Alumnae Assoc Wellesley Club of Pasadena,,106 Central Street,WEDUC,0,237211805,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF PASADENA,No
392,Wellesley College Alumnae Assoc Miami Wellesley Club,485641,Wellesley College Alumnae Assoc Miami Wellesley Club,,106 Central Street,WEDUC,0,237211806,,,WELLESLEY COLLEGE ALUMNAE ASSOC MIAMI WELLESLEY CLUB,No
393,Wellesley College Alumnae Assoc St Louis Wellesley Club,485642,Wellesley College Alumnae Assoc St Louis Wellesley Club,,106 Central Street,WEDUC,0,237211807,,,WELLESLEY COLLEGE ALUMNAE ASSOC ST LOUIS WELLESLEY CLUB,No
394,Wellesley College Alumnae Assoc Western Maine Wellesley,485643,Wellesley College Alumnae Assoc Western Maine Wellesley,,106 Central Street,WEDUC,0,237211808,,,WELLESLEY COLLEGE ALUMNAE ASSOC WESTERN MAINE WELLESLEY,No
395,Wellesley College Alumnae Assoc Wellesley on Long Island,485871,Wellesley College Alumnae Assoc Wellesley on Long Island,,106 Central Street,WEDUC,0,237213564,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY ON LONG ISLAND,No
396,Wellesley College Alumnae Assoc 1965 Class,486245,Wellesley College Alumnae Assoc 1965 Class,,106 Central Street,WEDUC,0,237216457,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1965 CLASS,No
397,Wellesley College Alumnae Assoc Cincinnati Wellesley Club,486246,Wellesley College Alumnae Assoc Cincinnati Wellesley Club,,106 Central Street,WEDUC,0,237216460,,,WELLESLEY COLLEGE ALUMNAE ASSOC CINCINNATI WELLESLEY CLUB,No
398,Wellesley College Alumnae Assoc Southeastern Pennsylvania Wellesley,486247,Wellesley College Alumnae Assoc Southeastern Pennsylvania Wellesley,,106 central street,WEDUC,0,237216462,,,WELLESLEY COLLEGE ALUMNAE ASSOC SOUTHEASTERN PENNSYLVANIA WELLESLEY,No
399,Wellesley College Alumnae Assoc 1972 Class,487558,Wellesley College Alumnae Assoc 1972 Class,,106 Central Street,WEDUC,0,237229600,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1972 CLASS,No
400,Wellesley College Alumnae Assoc 1969 Class,488083,Wellesley College Alumnae Assoc 1969 Class,,106 Central Street,WEDUC,0,237233552,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1969 CLASS,No
401,Wellesley College Alumnae Assoc Eastern Maine Wellesley Club,488877,Wellesley College Alumnae Assoc Eastern Maine Wellesley Club,,106 Central Street,WEDUC,0,237239212,,,WELLESLEY COLLEGE ALUMNAE ASSOC EASTERN MAINE WELLESLEY CLUB,No
402,Wellesley College Alumnae Assoc Rhode Island Wellesley Club,488892,Wellesley College Alumnae Assoc Rhode Island Wellesley Club,,106 Central Street,WEDUC,0,237239372,,,WELLESLEY COLLEGE ALUMNAE ASSOC RHODE ISLAND WELLESLEY CLUB,No
403,Wellesley College Alumnae Assoc 1970 Class,489301,Wellesley College Alumnae Assoc 1970 Class,,106 Central Street,WEDUC,0,237244242,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1970 CLASS,No
404,Catholic Daughters of the Americas 943 James F Stanton,491773,Catholic Daughters of the Americas 943 James F Stanton,,85 Faraday St,GEN,0,237272323,,,CATHOLIC DAUGHTERS OF THE AMERICAS 943 JAMES F STANTON,No
405,Wellesley College Alumnae Assoc 1968 Class,493308,Wellesley College Alumnae Assoc 1968 Class,,106 Central Street,WEDUC,0,237290523,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1968 CLASS,No
406,Catholic Daughters of the Americas 1859 St Francis of Assisi,493327,Catholic Daughters of the Americas 1859 St Francis of Assisi,,29 Azel Rd,GEN,0,237290741,,,CATHOLIC DAUGHTERS OF THE AMERICAS 1859 ST FRANCIS OF ASSISI,No
407,Wellesley College Alumnae Assoc Wellesley Club of Cape Cod,493430,Wellesley College Alumnae Assoc Wellesley Club of Cape Cod,,106 Central Street,WEDUC,0,237292130,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF CAPE COD,No
408,General Federation of Womens Clubs of Massachusetts Inc Southern District President Club,494316,General Federation of Womens Clubs of Massachusetts Inc Southern District President Club,,45 WASHINGTON ST UNIT 400,WSNW,0,237300225,,,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC SOUTHERN DISTRICT PRESIDENT CLUB,No
409,Catholic Daughters of America 476 Court Mattapan 476,495395,Catholic Daughters of America 476 Court Mattapan 476,,242 Kennebec St,GEN,0,237313005,,,CATHOLIC DAUGHTERS OF AMERICA 476 COURT MATTAPAN 476,No
410,Wellesley College Alumnae Association Columbus Wellesley Club,496685,Wellesley College Alumnae Association Columbus Wellesley Club,,106 Central Street,WEDUC,0,237322870,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION COLUMBUS WELLESLEY CLUB,No
411,Wellesley College Alumnae Association Sacramento Area Wellesley Club,496686,Wellesley College Alumnae Association Sacramento Area Wellesley Club,,106 central street,WEDUC,0,237322871,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION SACRAMENTO AREA WELLESLEY CLUB,No
412,Wellesley College Alumnae Assoc 1955 Class,500211,Wellesley College Alumnae Assoc 1955 Class,,106 Central Street,WEDUC,0,237354764,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1955 CLASS,No
413,Wellesley College Alumnae Assoc Ce Ds Class,502625,Wellesley College Alumnae Assoc Ce Ds Class,,106 Central Street,WEDUC,0,237375415,,,WELLESLEY COLLEGE ALUMNAE ASSOC CE DS CLASS,No
414,Wellesley College Alumnae Assoc 1974 Class,504215,Wellesley College Alumnae Assoc 1974 Class,,106 Central Street,WEDUC,0,237391034,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1974 CLASS,No
415,National Society United States Daughters of 1812 Massachussetts State Society,505491,National Society United States Daughters of 1812 Massachussetts State Society,,203 Old Country Rd,GEN,0,237400263,,,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812 MASSACHUSSETTS STATE SOCIETY,No
416,International Order of the Rainbow Girls Supreme Assembly 20 Brockton,512966,International Order of the Rainbow Girls Supreme Assembly 20 Brockton,,147 West St,GIRL,0,237507236,,,INTERNATIONAL ORDER OF THE RAINBOW GIRLS SUPREME ASSEMBLY 20 BROCKTON,No
417,International Order of the Rainbow Girls 86 Plymouth Assembly,512968,International Order of the Rainbow Girls 86 Plymouth Assembly,,8 Harvest Dr,GIRL,0,237507269,,,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 86 PLYMOUTH ASSEMBLY,No
418,International Order of the Rainbow Girls 33 Saugus Assembly,512969,International Order of the Rainbow Girls 33 Saugus Assembly,,225 Eastern Ave,GIRL,0,237507271,,,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 33 SAUGUS ASSEMBLY,No
419,National Society Daughters of Founders and Patriots of America Massachusetts Chapter Nsdfpa,523422,National Society Daughters of Founders and Patriots of America Massachusetts Chapter Nsdfpa,,15 Bridge St,GEN,0,237584663,,,NATIONAL SOCIETY DAUGHTERS OF FOUNDERS AND PATRIOTS OF AMERICA MASSACHUSETTS CHAPTER NSDFPA,No
420,Wellesley College Alumnae Association 2003 Class,546278,Wellesley College Alumnae Association 2003 Class,,106 Central Street,WEDUC,0,260066788,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2003 CLASS,No
421,Girls With A Cause Incorporated,558363,Girls With A Cause Incorporated,,6 deep run,WEDUC,0,261224102,,,GIRLS WITH A CAUSE INCORPORATED,No
422,Mother Brook Community Group,576226,Mother Brook Community Group,,183 Grant Ave,WPSB,0,262745008,,,MOTHER BROOK COMMUNITY GROUP,No
423,Educated Ladies Empowered To Change,576466,Educated Ladies Empowered To Change,,PO BOX 804,WSW,0,262765471,,,EDUCATED LADIES EMPOWERED TO CHANGE,No
424,Consone Academy Inc,585878,Consone Academy Inc,"Consone academy, Inc., Is an independent, tuition-free urban school, providing a highly structured, values-oriented education to promising and motivated girls in grades 5-8, serving students of all faiths from low-income families, and preparing them for admission to high schools and colleges-challenging each to achieve her highest potential and to attain academic competence, confidence, curiosity, integrity, and hope. A special emphasis in choral music education will strengthen a traditional curriculum, empowering middle school girls.",13 Cunningham Dr,WEDUC,0,263544775,,,CONSONE ACADEMY INC,No
425,Inflammatory Breast Cancer New England Region Inc,587709,Inflammatory Breast Cancer New England Region Inc,,145 Warren Ave,WHLTH,0,263682581,,,INFLAMMATORY BREAST CANCER NEW ENGLAND REGION INC,No
426,Escena Latina Teatro Inc,590088,Escena Latina Teatro Inc,,16 Knoll St,WART,0,263857040,,,ESCENA LATINA TEATRO INC,No
427,American Women Foundation,592377,American Women Foundation,,285 THIRD ST APT 212,WHSV,0,264053503,,,AMERICAN WOMEN FOUNDATION,No
428,South Boston Girls Softball Inc,594861,South Boston Girls Softball Inc,,301 K St,GIRL,0,264281119,,,SOUTH BOSTON GIRLS SOFTBALL INC,No
429,New Baby Bundles Inc,596458,New Baby Bundles Inc,"The purpose of the corporation include, but are not limited to, the following: a) to raise awareness and educate the general community of the needs of homeless pregnant women and homeless mothers and their newborns; b) to provide basic supplies essential to the needs of homeless pregnant women and homeless mothers and their newborns living in homeless shelters or other temporary emergency housing; c) to raise funds necessary to sustain the foregoing activities and to expend such funds exclusively for the corporation's charitable and educational purposes; and d) to engage in any lawful act or activity in furtherance of the foregoing and in furtherance of the charitable and educational purposes of the corporation.",3 SWAN AVE,"WHLTH,WHSV",0,264428879,,,NEW BABY BUNDLES INC,No
430,Medfield Girls Hockey Inc,603568,Medfield Girls Hockey Inc,,9 Winter St,GIRL,0,270140775,,,MEDFIELD GIRLS HOCKEY INC,No
431,Massachusetts Association for Infant Mental Health,604054,Massachusetts Association for Infant Mental Health,,1295 Boylston St Ste 320,WHSV,0,270181615,,,MASSACHUSETTS ASSOCIATION FOR INFANT MENTAL HEALTH,No
432,Les Dames D Escoffier New England Inc,610469,Les Dames D Escoffier New England Inc,,38 Summer St,GEN,0,270699714,,,LES DAMES D ESCOFFIER NEW ENGLAND INC,No
433,New Birth Baptist Church New Birth Baptist Church,612353,New Birth Baptist Church New Birth Baptist Church,,225 Crescent St,WRELIG,0,270849884,,,NEW BIRTH BAPTIST CHURCH NEW BIRTH BAPTIST CHURCH,No
434,Umoja Uaso Womens Fund Inc,635999,Umoja Uaso Womens Fund Inc,,4 Meadowview Rd,"WINTL,WSW",0,272866235,,,UMOJA UASO WOMENS FUND INC,No
435,Hingham Girls Volleyball Inc,636498,Hingham Girls Volleyball Inc,Teaching volleyball and providing a league structure,39 Smith Rd,GIRL,0,272906965,,0.0,HINGHAM GIRLS VOLLEYBALL INC,No
436,Hingham Girls Volleyball Inc,636498,Hingham Girls Volleyball Inc,Teaching volleyball and providing a league structure,39 Smith Rd,GIRL,0,272906965,,0.0,HINGHAM GIRLS VOLLEYBALL INC,No
437,Hingham Girls Volleyball Inc,636498,Hingham Girls Volleyball Inc,Teaching volleyball and providing a league structure,39 Smith Rd,GIRL,0,272906965,,0.0,HINGHAM GIRLS VOLLEYBALL INC,No
438,Society of Saint Vincent de Paul in the Archdiocese of Boston Blessed Mother Teresa Conference,643947,Society of Saint Vincent de Paul in the Archdiocese of Boston Blessed Mother Teresa Conference,,284 Bowdoin St,WRELIG,0,273509519,,,SOCIETY OF SAINT VINCENT DE PAUL IN THE ARCHDIOCESE OF BOSTON BLESSED MOTHER TERESA CONFERENCE,No
439,Bellingham Girls Lacrosse Booster Club,645589,Bellingham Girls Lacrosse Booster Club,,34 Silver Ave,GIRL,0,273638881,,,BELLINGHAM GIRLS LACROSSE BOOSTER CLUB,No
440,Marblehead Youth Lacrosse Girls,646098,Marblehead Youth Lacrosse Girls,,22 W Shore Dr,GIRL,0,273679760,,,MARBLEHEAD YOUTH LACROSSE GIRLS,No
441,Wellesley College Alumnae Association Alumnae of African Descent,646405,Wellesley College Alumnae Association Alumnae of African Descent,,106 Central Street,WEDUC,0,273707155,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION ALUMNAE OF AFRICAN DESCENT,No
442,He Also Had 5 Daughters Jill Mclean Taylor Memorial Scholarship,647055,He Also Had 5 Daughters Jill Mclean Taylor Memorial Scholarship,,32 High St,WEDUC,0,273765932,,,HE ALSO HAD 5 DAUGHTERS JILL MCLEAN TAYLOR MEMORIAL SCHOLARSHIP,No
443,Rachel and Lillian Rose Foundation,648711,Rachel and Lillian Rose Foundation,To educate the public in regard to the existence of domestic abuse and to assist those who are already in such a crisis,11 N Main St,GV,0,273951808,,,RACHEL AND LILLIAN ROSE FOUNDATION,No
444,Girls Leadership Organized Women Inc,653386,Girls Leadership Organized Women Inc,,PO BOX 961363,"WPSB,WSW",0,274516245,,,GIRLS LEADERSHIP ORGANIZED WOMEN INC,No
445,Wellesley College Alumnae Assoc Class of 2011,655480,Wellesley College Alumnae Assoc Class of 2011,,106 Central Street,WEDUC,0,274752088,,,WELLESLEY COLLEGE ALUMNAE ASSOC CLASS OF 2011,No
446,Close To Home Domestic Violence Prevention Initiative Inc,660985,Close To Home Domestic Violence Prevention Initiative Inc,"Part 1: to prevent domestic violence and get help for those affected by educating, supporting and developing leadership from existing network of friends, family and neighbors.",1452 DORCHESTER AVE STE 4,GV,0,300082690,,,CLOSE TO HOME DOMESTIC VIOLENCE PREVENTION INITIATIVE INC,No
447,Blue Star Mothers of America Inc 2 Eastern MA Chapter,666356,Blue Star Mothers of America Inc 2 Eastern MA Chapter,,108 First Parish Road,WPSB,0,300382196,,,BLUE STAR MOTHERS OF AMERICA INC 2 EASTERN MA CHAPTER,No
448,St Catherines Vision Inc,666501,St Catherines Vision Inc,"Part 1: to develop and implement initiatives especially supporting women's ministries in the orthodox church through prayer, fund-raising, education, research, publications, communication, network building, consultation, collaboration, training, mentoring, and other related programming related to theology and ministry",802 Tuckers Ln,WHLTH,0,300392250,,,ST CATHERINES VISION INC,No
449,International Monument To Honor Abused Women Foundation,669979,International Monument To Honor Abused Women Foundation,,172 Ocean Ave W,GV,0,300570759,,,INTERNATIONAL MONUMENT TO HONOR ABUSED WOMEN FOUNDATION,No
450,The Journey To Parenthood Foundation Inc,672955,The Journey To Parenthood Foundation Inc,,PO Box 553,RH,0,300747986,,,THE JOURNEY TO PARENTHOOD FOUNDATION INC,No
451,New England Women Ministers Association Inc,693451,New England Women Ministers Association Inc,,45 Parker Ter,WRELIG,0,311598011,,,NEW ENGLAND WOMEN MINISTERS ASSOCIATION INC,No
452,Women in Sanctified Homes Inc,696963,Women in Sanctified Homes Inc,,18 Prescott St,WHSV,0,311710758,,,WOMEN IN SANCTIFIED HOMES INC,No
453,Dedham Girls Softball League,703939,Dedham Girls Softball League,,PO Box 415,GIRL,0,320018170,,,DEDHAM GIRLS SOFTBALL LEAGUE,No
454,Women in Aviation International Atlantic Aviatiors Chapter,704527,Women in Aviation International Atlantic Aviatiors Chapter,Introduce & educate the community to aviation,PO box 50902,WPSB,0,320063833,,,WOMEN IN AVIATION INTERNATIONAL ATLANTIC AVIATIORS CHAPTER,No
455,Wellesley College Alumnae Association 2004 Class,705381,Wellesley College Alumnae Association 2004 Class,,106 Central Street,WEDUC,0,320124344,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2004 CLASS,No
456,Wellesley College Alumnae Association 2008 Class,707296,Wellesley College Alumnae Association 2008 Class,,106 Central Street,WEDUC,0,320243176,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2008 CLASS,No
457,Wellesley College Alumnae Association 2009 Class,708290,Wellesley College Alumnae Association 2009 Class,,106 Central Street,WEDUC,0,320281093,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2009 CLASS,No
458,Hingham Girl Scout House Inc,708618,Hingham Girl Scout House Inc,Part 1: to serve as a meeting place for girl scouts,26 Burr Rd,"GIRL,WSW",0,320294085,,,HINGHAM GIRL SCOUT HOUSE INC,No
459,Metrosouth Obstetrics and Gynecology Inc,722400,Metrosouth Obstetrics and Gynecology Inc,See schedule o,55 Fogg Rd,WHLTH,0,330998957,,0.0,METROSOUTH OBSTETRICS AND GYNECOLOGY INC,No
460,Wellesley College Alumnae Assoc Cleveland Wellesley Club,744190,Wellesley College Alumnae Assoc Cleveland Wellesley Club,,106 Central Street,WEDUC,0,346600106,,,WELLESLEY COLLEGE ALUMNAE ASSOC CLEVELAND WELLESLEY CLUB,No
461,Mother on A Mission Inc,761089,Mother on A Mission Inc,,4 Hurd Ave,WRELIG,0,352303488,,,MOTHER ON A MISSION INC,No
462,LA Leche League International Inc Lll Central Vermont,773553,LA Leche League International Inc Lll Central Vermont,,847 Washington St,WSNW,0,363001480,,,,No
463,Sigma Delta Epsilon Graduate Women in Science Inc Alpha Omega Chapter,782223,Sigma Delta Epsilon Graduate Women in Science Inc Alpha Omega Chapter,,360 Huntington Ave,WSNW,0,363621115,,,SIGMA DELTA EPSILON GRADUATE WOMEN IN SCIENCE INC ALPHA OMEGA CHAPTER,No
464,Wellesley College Alumnae Association Class 2010,797087,Wellesley College Alumnae Association Class 2010,,106 Central Street,WEDUC,0,364675012,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION CLASS 2010,No
465,Wellesley College Alumnae Association Chicago Wellesley Club,799916,Wellesley College Alumnae Association Chicago Wellesley Club,,106 Central Street,WEDUC,0,366097925,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION CHICAGO WELLESLEY CLUB,No
466,Daughters of St Paul Inc Defined Benfit Pension Plan Tr,814773,Daughters of St Paul Inc Defined Benfit Pension Plan Tr,,50 Saint Pauls Ave,GEN,0,371642159,,,DAUGHTERS OF ST PAUL INC DEFINED BENFIT PENSION PLAN TR,No
467,Wellesley College Alumnae Assoc 1959 Class,822467,Wellesley College Alumnae Assoc 1959 Class,,106 central street,WEDUC,0,381984945,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1959 CLASS,No
468,Wellesley College Alumnae Association 1956 Class,847443,Wellesley College Alumnae Association 1956 Class,,106 CENTRAL STREET,WEDUC,0,386107921,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 1956 CLASS,No
469,Sisters of the Eucharistic Heart of Jesus,883542,Sisters of the Eucharistic Heart of Jesus,,115 Mount Pleasant Ave,WSNW,0,412073980,,,SISTERS OF THE EUCHARISTIC HEART OF JESUS,No
