,organizationName,id,name,description,address,categories,revenue,EIN,totcntrbgfts,totcntrbs,boston_region
297,Theyellowumbrella Org Inc,663930,Theyellowumbrella Org Inc,To raise awareness about cervical cancer prevention.,203 Washington St 234,WHLTH,387,300222843,,,Yes
298,Community Lending Corporation,597911,Community Lending Corporation,"Community lending corporation (clc) was formed in May, 2009 as a community based non-profit to provide financing, technical assistance and business support services to underserved populations including refugees, asylees, immigrants, minorities, women, and businesses in low to moderate income areas. During 2016, clc was dissolved and its remaining assets and liabilities were transfered to a related organization who is carrying on the exempt purpose.",1 MILK ST STE 4,WHSV,252,264558073,,,Yes
299,Wellesley Hills Womans Club Scholarship Trust,1946638,Wellesley Hills Womans Club Scholarship Trust,Part 1: to provide scholarships to deserving students who are residents of the town of wellesley. - Part 3: to provide college scholarships to deserving students who are residents of the town of wellesley,PO box 81040,WEDUC,137,46047961,,,Yes
300,Kids Without Moms Inc,1701959,Kids Without Moms Inc,To provide support to the +2.0mm children in the us currently living in a home without a mother.,396 WASHINGTON ST,WHSV,50,474355887,,,Yes
301,Pink Seat Project,999435,Pink Seat Project,To promote and carry out various activities dedicated to helping women affected with breast cancer by fund raising and otehr methods and donating proceeds from those efforts to entities that support breast cancer research,608 Chestnut St,"GIRL,WHLTH",22,462361370,,12.0,Yes
302,Girls Independent Golf League Inc,1644289,Girls Independent Golf League Inc,Promoting golf for young women through education and competition.,2 Stonewood Cir,GIRL,7,474139882,,0.0,Yes
303,New England Farm and Garden Association Inc,1945773,New England Farm and Garden Association Inc,"Provides scholarships to students concentrating on horticulture, conservation environmental sciences, agriculture, arboriculture, landscape design, animal science, wildlife biology, oceanography and other related fields.",201 COLBY HEWITT LN,GEN,1,42105916,,,Yes
304,St Margarets Hospital for Women,281625,St Margarets Hospital for Women,The primary purpose is to provide support to other non-profit organizations.,90 Cushing Ave,WHLTH,0,42106333,,,Yes
305,Congregation of Sisters of St Joseph of Boston,282043,Congregation of Sisters of St Joseph of Boston,,637 Cambridge St,WSNW,0,42160625,,,Yes
306,Sisters of the Presentation of Mary Inc,282440,Sisters of the Presentation of Mary Inc,,209 Lawrence St,WSNW,0,42262664,,,Yes
307,LITTLE MISSIONARY SISTERS OF CHARITY INC,282659,LITTLE MISSIONARY SISTERS OF CHARITY INC,,111 ORIENT AVE,,0,42313043,,,Yes
308,Sisters of Notre Dame de Namur Generalate Ralate,286135,Sisters of Notre Dame de Namur Generalate Ralate,,30 Jeffreys Neck Rd,WSNW,0,42768201,,,Yes
309,Franciscan Sisters of the Immaculate Conception,290101,Franciscan Sisters of the Immaculate Conception,,1 Magazine St,WSNW,0,43236184,,,Yes
310,We Share Foundation Andover Charitable Trust,293097,We Share Foundation Andover Charitable Trust,,PO Box 221,WSNW,0,43441215,,,Yes
311,Truesdale Nurses Alumni Association,303601,Truesdale Nurses Alumni Association,,43 Fort St,WEDUC,0,50420697,,,Yes
312,Wellesley College Alumnae Assoc New York Wellesley Club,324152,Wellesley College Alumnae Assoc New York Wellesley Club,,106 Central Street,WEDUC,0,131547107,,,Yes
313,Wellesley College Alumnae Association 1980 Class,324722,Wellesley College Alumnae Association 1980 Class,,106 Central Street,WEDUC,0,133041423,,,Yes
314,National Organization of Mothers of Twins Clubs Inc North Shore Mom,326578,National Organization of Mothers of Twins Clubs Inc North Shore Mom,,116 Lynn St,WHSV,0,134219436,,,Yes
315,Wellesley College Alumnae Assoc Wellesley in Westchester,329170,Wellesley College Alumnae Assoc Wellesley in Westchester,,106 Central Street,WEDUC,0,136161347,,,Yes
316,Wellesley College Alumnae Assoc 1990 Class,330071,Wellesley College Alumnae Assoc 1990 Class,,106 Central Street,WEDUC,0,141733128,,,Yes
317,Wellesley College Alumnae Assoc Central New York Wellesley Club,332855,Wellesley College Alumnae Assoc Central New York Wellesley Club,,106 Central Street,WEDUC,0,156022030,,,Yes
318,Wellesley College Alumnae Assoc Buffalo Wellesley Club,332903,Wellesley College Alumnae Assoc Buffalo Wellesley Club,,106 Central Street,WEDUC,0,161064895,,,Yes
319,National Black Womens Society,334971,National Black Womens Society,Empowerment and advocate for women of color,PO Box 240907,"WPSB,WSW",0,161760056,,,Yes
320,Atlantic Womens Health Inc,337181,Atlantic Womens Health Inc,"To provide primary obstetrical and gynecological medical care and related services in the communities served by south shore hospital, Inc., An affiliated organization, and to engage in research and education to further the effective delivery of such care.",55 Fogg Rd,WHLTH,0,200156651,,,Yes
321,Mansfield Girls Softball Association,339178,Mansfield Girls Softball Association,Toproviderecreationalsoftball,PO Box 941,GIRL,0,200355361,,5290.0,Yes
322,Massachusetts Hockey Childrens Foundation Inc,339292,Massachusetts Hockey Childrens Foundation Inc,"Fundraising and distributing funds to promote youth hockey in massachusetts including in the inner city, to girls, and the disabled.",77 Davison St,WART,0,200367394,,0.0,Yes
323,South Coast Girls Softball,339612,South Coast Girls Softball,,2 Deerfield Ln,GIRL,0,200397727,,,Yes
324,American Family Center Inc,346529,American Family Center Inc,Assistance to victims of domestic violence,22 Provincetown View Rd,GV,0,201156838,,,Yes
325,Mansfield Mothers Club Inc,349556,Mansfield Mothers Club Inc,,PO Box 831,WHSV,0,201462777,,,Yes
326,North Shore Fairy Godmother Project,351255,North Shore Fairy Godmother Project,,PO Box 125,WHSV,0,201633687,,,Yes
327,Amesbury Girls Youth Softball League Inc,356732,Amesbury Girls Youth Softball League Inc,,PO Box 201,GIRL,0,202166463,,,Yes
328,Beverly Girls Softball Inc,370895,Beverly Girls Softball Inc,To provide an organized softball league for girls aging from 5 to 14 years old.,PO BOX 752,GIRL,0,203611695,,,Yes
329,Mass State Committee of the National Museum of Women in the AR,384432,Mass State Committee of the National Museum of Women in the AR,To promote awareness of women in the arts and the national museum of women in the arts,183 Commonwealth Ave Apt 3,WART,0,205011983,,,Yes
330,Womens Well Inc,388205,Womens Well Inc,Education,2400 BEACON ST,WPSB,0,205377460,,,Yes
331,Wellesley College Alumnae Assoc 1984 Class,413295,Wellesley College Alumnae Assoc 1984 Class,,106 Central Street,WEDUC,0,222531653,,,Yes
332,LA Leche League International Inc Lll Lawrence,413341,LA Leche League International Inc Lll Lawrence,,847 Washington St,WSNW,0,222533468,,,Yes
333,Boy and Girl Scouts of Kingston Inc,413934,Boy and Girl Scouts of Kingston Inc,Charitable support of kingston scouts/scout units,15 Old Orchard Ln,GEN,0,222559693,,0.0,Yes
334,The Woodward School for Girls Foundation Inc,414836,The Woodward School for Girls Foundation Inc,,111 MILTON ST,"WEDUC,WSW",0,222610254,,,Yes
335,Congregation of the Sisters of Divine Providence,417143,Congregation of the Sisters of Divine Providence,,363 Bishops Hwy,WSNW,0,222826249,,,Yes
336,Westport Girls Softball League Inc,419379,Westport Girls Softball League Inc,,PO Box 1555,GIRL,0,223042333,,,Yes
337,Alumnae Association of the Harriet E Richards Cooperative House of Boston University Incorporated,419657,Alumnae Association of the Harriet E Richards Cooperative House of Boston University Incorporated,Part 1: the harriet e. Richards alumnae association (heraa) is a 501(c)3 non-profit dedicated to ensuring the continued existence of the harriet e. Richards cooperative house by advancing and protecting the shared issues and interests of her alumnae and current residents.,191 Bay State Rd,WEDUC,0,223061841,,,Yes
338,General Federation of Womens Clubs of Massachusetts Inc Junior Womans Club of Walpole,423667,General Federation of Womens Clubs of Massachusetts Inc Junior Womans Club of Walpole,,PO Box 261,WSNW,0,223362591,,,Yes
339,Wellesley College Alumnae Association Wellesley Club Central New Jersey,431654,Wellesley College Alumnae Association Wellesley Club Central New Jersey,,106 Central Street,WEDUC,0,226069152,,,Yes
340,Wellesley College Alumnae Association Wellesley in Philadelphia,453503,Wellesley College Alumnae Association Wellesley in Philadelphia,,106 Central Street,WEDUC,0,236401116,,,Yes
341,National Society of the Daughters of the American Revolution Contentment DAR,458132,National Society of the Daughters of the American Revolution Contentment DAR,,14 Thompson St,GEN,0,237027551,,,Yes
342,National Society of the Daughters of the American Revolution Duxbury DAR,458134,National Society of the Daughters of the American Revolution Duxbury DAR,,16 Inverness Ln,GEN,0,237027555,,,Yes
343,General Federation of Womens Clubs of Massachusetts Inc Revere Womans Club,466932,General Federation of Womens Clubs of Massachusetts Inc Revere Womans Club,,60 ALLSTON ST,WSNW,0,237092312,,,Yes
344,General Federation of Womens Clubs of Massachusetts Inc Milton Womans Club,467153,General Federation of Womens Clubs of Massachusetts Inc Milton Womans Club,"Part 1: community service and education including grants to local organizations and scholarships to high school seniors residing in milton. - Part 3: to increase fellowship among the women of milton offering opportunities for the consideration and discussion of topics of general or local interest, establishing and maintaining a place of social meeting and promoting civic betterment in the town of milton.",507 Pleasant St,WSNW,0,237093900,,,Yes
345,General Federation of Womens Clubs of Massachusetts Inc Professional Womens Club,467573,General Federation of Womens Clubs of Massachusetts Inc Professional Womens Club,,45 Washington St Unit 400,WSNW,0,237096902,,,Yes
346,General Federation of Womens Clubs of Massachusetts Inc Directors Chairmans Club,467607,General Federation of Womens Clubs of Massachusetts Inc Directors Chairmans Club,,76 Shaw Farm Rd,WSNW,0,237097189,,,Yes
347,General Federation of Womens Clubs of Massachusetts Inc Nahant Womans Club,467608,General Federation of Womens Clubs of Massachusetts Inc Nahant Womans Club,,20 High St,WSNW,0,237097194,,,Yes
348,Wellesley College Alumnae Association Kansas City Wellesley Club,467813,Wellesley College Alumnae Association Kansas City Wellesley Club,,106 Central Street,WEDUC,0,237098529,,,Yes
349,General Federation of Womens Clubs of Massachusetts Inc Needham Womens Club,469381,General Federation of Womens Clubs of Massachusetts Inc Needham Womens Club,,PO Box 920583,WSNW,0,237107254,,,Yes
350,General Federation of Womens Clubs of Massachusetts Inc Ladies Physiological,471532,General Federation of Womens Clubs of Massachusetts Inc Ladies Physiological,,49 Keswick Rd,WSNW,0,237118940,,,Yes
351,General Federation of Womens Clubs of Massachusetts Inc GFWC Taunton and Raynham Juniors,471635,General Federation of Womens Clubs of Massachusetts Inc GFWC Taunton and Raynham Juniors,,PO Box 521,WSNW,0,237119592,,,Yes
352,Wellesley College Alumnae Assoc Wellesley Club of Ridgewood,472367,Wellesley College Alumnae Assoc Wellesley Club of Ridgewood,,106 central street,WEDUC,0,237124302,,,Yes
353,General Federation of Womens Clubs of Massachusetts Inc Evening Div Past Pres,473866,General Federation of Womens Clubs of Massachusetts Inc Evening Div Past Pres,,49 KESWICK RD,WSNW,0,237132698,,,Yes
354,International Order of the Rainbow Girls 57 Needham Assembly,473932,International Order of the Rainbow Girls 57 Needham Assembly,,51 GILBERT RD,GIRL,0,237133168,,,Yes
355,International Order of the Rainbow Girls 13 Taunton Assembly,473989,International Order of the Rainbow Girls 13 Taunton Assembly,,5 Locust St,GIRL,0,237133650,,,Yes
356,International Order of the Rainbow Girls 58 Middleboro Assy,474152,International Order of the Rainbow Girls 58 Middleboro Assy,,23 Hidden Valley Dr,GIRL,0,237134394,,,Yes
357,International Order of the Rainbow Girls 98 Georgetown Assembly,475374,International Order of the Rainbow Girls 98 Georgetown Assembly,,116 S Pleasant St,GIRL,0,237140179,,,Yes
358,Wellesley College Alumnae Assoc Atlanta Wellesley Club,478416,Wellesley College Alumnae Assoc Atlanta Wellesley Club,,106 Central Street,WEDUC,0,237156518,,,Yes
359,Wellesley College Alumnae Assoc Fairfield Villages Wellesley Club,479224,Wellesley College Alumnae Assoc Fairfield Villages Wellesley Club,,106 Central Street,WEDUC,0,237161278,,,Yes
360,Wellesley College Alumnae Assoc Wellesley Club of Colorado,480230,Wellesley College Alumnae Assoc Wellesley Club of Colorado,,106 Central Street,WEDUC,0,237167383,,,Yes
361,Wellesley College Alumnae Assoc North Shore Wellesley Club,480413,Wellesley College Alumnae Assoc North Shore Wellesley Club,,106 Central Street,WEDUC,0,237168323,,,Yes
362,Wellesley College Alumnae Assoc Wellesley Club of Sarasota,480431,Wellesley College Alumnae Assoc Wellesley Club of Sarasota,,106 Central Street,WEDUC,0,237168457,,,Yes
363,Wellesley College Alumnae Assoc Wellesley College Club Los Angeles,480681,Wellesley College Alumnae Assoc Wellesley College Club Los Angeles,,106 Central Street,WEDUC,0,237169871,,,Yes
364,Wellesley College Alumnae Assoc Wellesley College Club of Dallas,480858,Wellesley College Alumnae Assoc Wellesley College Club of Dallas,,106 Central Street,WEDUC,0,237170576,,,Yes
365,Catholic Daughters of the Americas 488 Brookline,480969,Catholic Daughters of the Americas 488 Brookline,,39 Prince St,GEN,0,237171139,,,Yes
366,Catholic Daughters of the Americas 1065 CT Corpus Christi,480970,Catholic Daughters of the Americas 1065 CT Corpus Christi,,937 Sea St,GEN,0,237171140,,,Yes
367,Catholic Daughters of the Americas 1543 CT Our Lady of Presentation,481085,Catholic Daughters of the Americas 1543 CT Our Lady of Presentation,,27 Sparhawk St,GEN,0,237171844,,,Yes
368,Catholic Daughters of the Americas 1475 CT St Joseph,481087,Catholic Daughters of the Americas 1475 CT St Joseph,,6 Mann St,GEN,0,237171847,,,Yes
369,Wellesley College Alumnae Assoc Wellesley in New Haven,481532,Wellesley College Alumnae Assoc Wellesley in New Haven,,106 Central Street,WEDUC,0,237174059,,,Yes
370,Catholic Daughters of the Americas Massachusetts State Court,481822,Catholic Daughters of the Americas Massachusetts State Court,,3 Winthrop St,GEN,0,237175560,,,Yes
371,Wellesley College Alumnae Assoc Rochester Wellesley Club,482017,Wellesley College Alumnae Assoc Rochester Wellesley Club,,106 Central Street,WEDUC,0,237176994,,,Yes
372,Catholic Daughters of the Americas 434 CT Salem,482068,Catholic Daughters of the Americas 434 CT Salem,,50 Devens Rd,GEN,0,237177269,,,Yes
373,Catholic Daughters of the Americas 584 CT Henry A Sullivan,482073,Catholic Daughters of the Americas 584 CT Henry A Sullivan,,93a Collins St,GEN,0,237177279,,,Yes
374,Wellesley College Alumnae Assoc Southern Connecticut Wellesley Club,482178,Wellesley College Alumnae Assoc Southern Connecticut Wellesley Club,,106 Central Street,WEDUC,0,237178052,,,Yes
375,Wellesley College Alumnae Assoc 1964 Class,482333,Wellesley College Alumnae Assoc 1964 Class,,106 Central Street,WEDUC,0,237178922,,,Yes
376,Wellesley College Alumnae Assoc 1963 Class,482358,Wellesley College Alumnae Assoc 1963 Class,,106 Central Street,WEDUC,0,237179138,,,Yes
377,Wellesley College Alumnae Assoc 1960 Class,482359,Wellesley College Alumnae Assoc 1960 Class,,106 Central Street,WEDUC,0,237179154,,,Yes
378,Wellesley College Alumnae Assoc Class of 1967,482482,Wellesley College Alumnae Assoc Class of 1967,,106 Central Street,WEDUC,0,237180155,,,Yes
379,Wellesley College Alumnae Assoc 1957 Class,482542,Wellesley College Alumnae Assoc 1957 Class,,106 Central Street,WEDUC,0,237180656,,,Yes
380,Wellesley College Alumnae Assoc 1966 Class,483160,Wellesley College Alumnae Assoc 1966 Class,,106 Central Street,WEDUC,0,237185247,,,Yes
381,Wellesley College Alumnae Assoc 1961 Class,483315,Wellesley College Alumnae Assoc 1961 Class,,106 Central Street,WEDUC,0,237186938,,,Yes
382,Wellesley College Alumnae Assoc Wellesley in Phoenix,483420,Wellesley College Alumnae Assoc Wellesley in Phoenix,,106 Central Street,WEDUC,0,237188238,,,Yes
383,Wellesley College Alumnae Assoc 1971 Class,483808,Wellesley College Alumnae Assoc 1971 Class,,106 Central Street,WEDUC,0,237191996,,,Yes
384,Wellesley College Alumnae Assoc Wellesley Club Northern California,484109,Wellesley College Alumnae Assoc Wellesley Club Northern California,,106 Central Street,WEDUC,0,237195714,,,Yes
385,Wellesley College Alumnae Assoc Englewood Wellesley Club,484762,Wellesley College Alumnae Assoc Englewood Wellesley Club,,106 central street,WEDUC,0,237204744,,,Yes
386,Wellesley College Alumnae Assoc Winchester Wellesley Club,485635,Wellesley College Alumnae Assoc Winchester Wellesley Club,,106 Central Street,WEDUC,0,237211790,,,Yes
387,Wellesley College Alumnae Assoc Wellesley Club of Houston,485636,Wellesley College Alumnae Assoc Wellesley Club of Houston,,106 Central Street,WEDUC,0,237211799,,,Yes
388,Wellesley College Alumnae Assoc Wellesley Club of San Antonio,485637,Wellesley College Alumnae Assoc Wellesley Club of San Antonio,,106 Central Street,WEDUC,0,237211800,,,Yes
389,Wellesley College Alumnae Assoc Pittsburgh Wellesley Club,485638,Wellesley College Alumnae Assoc Pittsburgh Wellesley Club,,106 Central Street,WEDUC,0,237211802,,,Yes
390,Wellesley College Alumnae Assoc Minnesota Wellesley Club,485639,Wellesley College Alumnae Assoc Minnesota Wellesley Club,,106 Central Street,WEDUC,0,237211804,,,Yes
391,Wellesley College Alumnae Assoc Wellesley Club of Pasadena,485640,Wellesley College Alumnae Assoc Wellesley Club of Pasadena,,106 Central Street,WEDUC,0,237211805,,,Yes
392,Wellesley College Alumnae Assoc Miami Wellesley Club,485641,Wellesley College Alumnae Assoc Miami Wellesley Club,,106 Central Street,WEDUC,0,237211806,,,Yes
393,Wellesley College Alumnae Assoc St Louis Wellesley Club,485642,Wellesley College Alumnae Assoc St Louis Wellesley Club,,106 Central Street,WEDUC,0,237211807,,,Yes
394,Wellesley College Alumnae Assoc Western Maine Wellesley,485643,Wellesley College Alumnae Assoc Western Maine Wellesley,,106 Central Street,WEDUC,0,237211808,,,Yes
395,Wellesley College Alumnae Assoc Wellesley on Long Island,485871,Wellesley College Alumnae Assoc Wellesley on Long Island,,106 Central Street,WEDUC,0,237213564,,,Yes
396,Wellesley College Alumnae Assoc 1965 Class,486245,Wellesley College Alumnae Assoc 1965 Class,,106 Central Street,WEDUC,0,237216457,,,Yes
397,Wellesley College Alumnae Assoc Cincinnati Wellesley Club,486246,Wellesley College Alumnae Assoc Cincinnati Wellesley Club,,106 Central Street,WEDUC,0,237216460,,,Yes
398,Wellesley College Alumnae Assoc Southeastern Pennsylvania Wellesley,486247,Wellesley College Alumnae Assoc Southeastern Pennsylvania Wellesley,,106 central street,WEDUC,0,237216462,,,Yes
399,Wellesley College Alumnae Assoc 1972 Class,487558,Wellesley College Alumnae Assoc 1972 Class,,106 Central Street,WEDUC,0,237229600,,,Yes
400,Wellesley College Alumnae Assoc 1969 Class,488083,Wellesley College Alumnae Assoc 1969 Class,,106 Central Street,WEDUC,0,237233552,,,Yes
401,Wellesley College Alumnae Assoc Eastern Maine Wellesley Club,488877,Wellesley College Alumnae Assoc Eastern Maine Wellesley Club,,106 Central Street,WEDUC,0,237239212,,,Yes
402,Wellesley College Alumnae Assoc Rhode Island Wellesley Club,488892,Wellesley College Alumnae Assoc Rhode Island Wellesley Club,,106 Central Street,WEDUC,0,237239372,,,Yes
403,Wellesley College Alumnae Assoc 1970 Class,489301,Wellesley College Alumnae Assoc 1970 Class,,106 Central Street,WEDUC,0,237244242,,,Yes
404,Catholic Daughters of the Americas 943 James F Stanton,491773,Catholic Daughters of the Americas 943 James F Stanton,,85 Faraday St,GEN,0,237272323,,,Yes
405,Wellesley College Alumnae Assoc 1968 Class,493308,Wellesley College Alumnae Assoc 1968 Class,,106 Central Street,WEDUC,0,237290523,,,Yes
406,Catholic Daughters of the Americas 1859 St Francis of Assisi,493327,Catholic Daughters of the Americas 1859 St Francis of Assisi,,29 Azel Rd,GEN,0,237290741,,,Yes
407,Wellesley College Alumnae Assoc Wellesley Club of Cape Cod,493430,Wellesley College Alumnae Assoc Wellesley Club of Cape Cod,,106 Central Street,WEDUC,0,237292130,,,Yes
408,General Federation of Womens Clubs of Massachusetts Inc Southern District President Club,494316,General Federation of Womens Clubs of Massachusetts Inc Southern District President Club,,45 WASHINGTON ST UNIT 400,WSNW,0,237300225,,,Yes
409,Catholic Daughters of America 476 Court Mattapan 476,495395,Catholic Daughters of America 476 Court Mattapan 476,,242 Kennebec St,GEN,0,237313005,,,Yes
410,Wellesley College Alumnae Association Columbus Wellesley Club,496685,Wellesley College Alumnae Association Columbus Wellesley Club,,106 Central Street,WEDUC,0,237322870,,,Yes
411,Wellesley College Alumnae Association Sacramento Area Wellesley Club,496686,Wellesley College Alumnae Association Sacramento Area Wellesley Club,,106 central street,WEDUC,0,237322871,,,Yes
412,Wellesley College Alumnae Assoc 1955 Class,500211,Wellesley College Alumnae Assoc 1955 Class,,106 Central Street,WEDUC,0,237354764,,,Yes
413,Wellesley College Alumnae Assoc Ce Ds Class,502625,Wellesley College Alumnae Assoc Ce Ds Class,,106 Central Street,WEDUC,0,237375415,,,Yes
414,Wellesley College Alumnae Assoc 1974 Class,504215,Wellesley College Alumnae Assoc 1974 Class,,106 Central Street,WEDUC,0,237391034,,,Yes
415,National Society United States Daughters of 1812 Massachussetts State Society,505491,National Society United States Daughters of 1812 Massachussetts State Society,,203 Old Country Rd,GEN,0,237400263,,,Yes
416,International Order of the Rainbow Girls Supreme Assembly 20 Brockton,512966,International Order of the Rainbow Girls Supreme Assembly 20 Brockton,,147 West St,GIRL,0,237507236,,,Yes
417,International Order of the Rainbow Girls 86 Plymouth Assembly,512968,International Order of the Rainbow Girls 86 Plymouth Assembly,,8 Harvest Dr,GIRL,0,237507269,,,Yes
418,International Order of the Rainbow Girls 33 Saugus Assembly,512969,International Order of the Rainbow Girls 33 Saugus Assembly,,225 Eastern Ave,GIRL,0,237507271,,,Yes
419,National Society Daughters of Founders and Patriots of America Massachusetts Chapter Nsdfpa,523422,National Society Daughters of Founders and Patriots of America Massachusetts Chapter Nsdfpa,,15 Bridge St,GEN,0,237584663,,,Yes
420,Wellesley College Alumnae Association 2003 Class,546278,Wellesley College Alumnae Association 2003 Class,,106 Central Street,WEDUC,0,260066788,,,Yes
421,Girls With A Cause Incorporated,558363,Girls With A Cause Incorporated,,6 deep run,WEDUC,0,261224102,,,Yes
422,Mother Brook Community Group,576226,Mother Brook Community Group,,183 Grant Ave,WPSB,0,262745008,,,Yes
423,Educated Ladies Empowered To Change,576466,Educated Ladies Empowered To Change,,PO BOX 804,WSW,0,262765471,,,Yes
424,Consone Academy Inc,585878,Consone Academy Inc,"Consone academy, Inc., Is an independent, tuition-free urban school, providing a highly structured, values-oriented education to promising and motivated girls in grades 5-8, serving students of all faiths from low-income families, and preparing them for admission to high schools and colleges-challenging each to achieve her highest potential and to attain academic competence, confidence, curiosity, integrity, and hope. A special emphasis in choral music education will strengthen a traditional curriculum, empowering middle school girls.",13 Cunningham Dr,WEDUC,0,263544775,,,Yes
425,Inflammatory Breast Cancer New England Region Inc,587709,Inflammatory Breast Cancer New England Region Inc,,145 Warren Ave,WHLTH,0,263682581,,,Yes
426,Escena Latina Teatro Inc,590088,Escena Latina Teatro Inc,,16 Knoll St,WART,0,263857040,,,Yes
427,American Women Foundation,592377,American Women Foundation,,285 THIRD ST APT 212,WHSV,0,264053503,,,Yes
428,South Boston Girls Softball Inc,594861,South Boston Girls Softball Inc,,301 K St,GIRL,0,264281119,,,Yes
429,New Baby Bundles Inc,596458,New Baby Bundles Inc,"The purpose of the corporation include, but are not limited to, the following: a) to raise awareness and educate the general community of the needs of homeless pregnant women and homeless mothers and their newborns; b) to provide basic supplies essential to the needs of homeless pregnant women and homeless mothers and their newborns living in homeless shelters or other temporary emergency housing; c) to raise funds necessary to sustain the foregoing activities and to expend such funds exclusively for the corporation's charitable and educational purposes; and d) to engage in any lawful act or activity in furtherance of the foregoing and in furtherance of the charitable and educational purposes of the corporation.",3 SWAN AVE,"WHLTH,WHSV",0,264428879,,,Yes
430,Medfield Girls Hockey Inc,603568,Medfield Girls Hockey Inc,,9 Winter St,GIRL,0,270140775,,,Yes
431,Massachusetts Association for Infant Mental Health,604054,Massachusetts Association for Infant Mental Health,,1295 Boylston St Ste 320,WHSV,0,270181615,,,Yes
432,Les Dames D Escoffier New England Inc,610469,Les Dames D Escoffier New England Inc,,38 Summer St,GEN,0,270699714,,,Yes
433,New Birth Baptist Church New Birth Baptist Church,612353,New Birth Baptist Church New Birth Baptist Church,,225 Crescent St,WRELIG,0,270849884,,,Yes
434,Umoja Uaso Womens Fund Inc,635999,Umoja Uaso Womens Fund Inc,,4 Meadowview Rd,"WINTL,WSW",0,272866235,,,Yes
435,Hingham Girls Volleyball Inc,636498,Hingham Girls Volleyball Inc,Teaching volleyball and providing a league structure,39 Smith Rd,GIRL,0,272906965,,0.0,Yes
436,Hingham Girls Volleyball Inc,636498,Hingham Girls Volleyball Inc,Teaching volleyball and providing a league structure,39 Smith Rd,GIRL,0,272906965,,0.0,Yes
437,Hingham Girls Volleyball Inc,636498,Hingham Girls Volleyball Inc,Teaching volleyball and providing a league structure,39 Smith Rd,GIRL,0,272906965,,0.0,Yes
438,Society of Saint Vincent de Paul in the Archdiocese of Boston Blessed Mother Teresa Conference,643947,Society of Saint Vincent de Paul in the Archdiocese of Boston Blessed Mother Teresa Conference,,284 Bowdoin St,WRELIG,0,273509519,,,Yes
439,Bellingham Girls Lacrosse Booster Club,645589,Bellingham Girls Lacrosse Booster Club,,34 Silver Ave,GIRL,0,273638881,,,Yes
440,Marblehead Youth Lacrosse Girls,646098,Marblehead Youth Lacrosse Girls,,22 W Shore Dr,GIRL,0,273679760,,,Yes
441,Wellesley College Alumnae Association Alumnae of African Descent,646405,Wellesley College Alumnae Association Alumnae of African Descent,,106 Central Street,WEDUC,0,273707155,,,Yes
442,He Also Had 5 Daughters Jill Mclean Taylor Memorial Scholarship,647055,He Also Had 5 Daughters Jill Mclean Taylor Memorial Scholarship,,32 High St,WEDUC,0,273765932,,,Yes
443,Rachel and Lillian Rose Foundation,648711,Rachel and Lillian Rose Foundation,To educate the public in regard to the existence of domestic abuse and to assist those who are already in such a crisis,11 N Main St,GV,0,273951808,,,Yes
444,Girls Leadership Organized Women Inc,653386,Girls Leadership Organized Women Inc,,PO BOX 961363,"WPSB,WSW",0,274516245,,,Yes
445,Wellesley College Alumnae Assoc Class of 2011,655480,Wellesley College Alumnae Assoc Class of 2011,,106 Central Street,WEDUC,0,274752088,,,Yes
446,Close To Home Domestic Violence Prevention Initiative Inc,660985,Close To Home Domestic Violence Prevention Initiative Inc,"Part 1: to prevent domestic violence and get help for those affected by educating, supporting and developing leadership from existing network of friends, family and neighbors.",1452 DORCHESTER AVE STE 4,GV,0,300082690,,,Yes
447,Blue Star Mothers of America Inc 2 Eastern MA Chapter,666356,Blue Star Mothers of America Inc 2 Eastern MA Chapter,,108 First Parish Road,WPSB,0,300382196,,,Yes
448,St Catherines Vision Inc,666501,St Catherines Vision Inc,"Part 1: to develop and implement initiatives especially supporting women's ministries in the orthodox church through prayer, fund-raising, education, research, publications, communication, network building, consultation, collaboration, training, mentoring, and other related programming related to theology and ministry",802 Tuckers Ln,WHLTH,0,300392250,,,Yes
449,International Monument To Honor Abused Women Foundation,669979,International Monument To Honor Abused Women Foundation,,172 Ocean Ave W,GV,0,300570759,,,Yes
450,The Journey To Parenthood Foundation Inc,672955,The Journey To Parenthood Foundation Inc,,PO Box 553,RH,0,300747986,,,Yes
451,New England Women Ministers Association Inc,693451,New England Women Ministers Association Inc,,45 Parker Ter,WRELIG,0,311598011,,,Yes
452,Women in Sanctified Homes Inc,696963,Women in Sanctified Homes Inc,,18 Prescott St,WHSV,0,311710758,,,Yes
453,Dedham Girls Softball League,703939,Dedham Girls Softball League,,PO Box 415,GIRL,0,320018170,,,Yes
454,Women in Aviation International Atlantic Aviatiors Chapter,704527,Women in Aviation International Atlantic Aviatiors Chapter,Introduce & educate the community to aviation,PO box 50902,WPSB,0,320063833,,,Yes
455,Wellesley College Alumnae Association 2004 Class,705381,Wellesley College Alumnae Association 2004 Class,,106 Central Street,WEDUC,0,320124344,,,Yes
456,Wellesley College Alumnae Association 2008 Class,707296,Wellesley College Alumnae Association 2008 Class,,106 Central Street,WEDUC,0,320243176,,,Yes
457,Wellesley College Alumnae Association 2009 Class,708290,Wellesley College Alumnae Association 2009 Class,,106 Central Street,WEDUC,0,320281093,,,Yes
458,Hingham Girl Scout House Inc,708618,Hingham Girl Scout House Inc,Part 1: to serve as a meeting place for girl scouts,26 Burr Rd,"GIRL,WSW",0,320294085,,,Yes
